name,unit,qty_per_unit,kcal,protein,carbs,fat
Boiled Rice,g,100,130,2.7,28.0,0.3
Roti (Wheat),g,50,120,3.6,18.0,3.0
Dal (Cooked),g,100,116,7.0,16.0,1.2
Chole (Cooked),g,100,164,8.9,27.4,2.6
Paneer,g,100,296,21.0,6.0,22.0
Chicken Breast (cooked),g,100,165,31.0,0.0,3.6
Egg (1 large),serving,1,78,6.0,0.6,5.0
Milk (Toned),ml,200,124,6.6,9.8,6.6
Banana (1 medium),serving,1,105,1.3,27.0,0.3
Apple (1 medium),serving,1,95,0.5,25.0,0.3
Curd (Dahi),g,100,61,3.5,4.7,3.3
Poha (Cooked),g,100,130,2.5,23.0,2.5
Maggi (Cooked),g,100,210,5.0,31.0,7.0
Aloo Paratha,serving,1,320,8.0,45.0,12.0
Biryani (Chicken),g,100,170,8.0,20.0,6.0
